Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Mainz 05,6.68,12.9,20.6,11.8,15.6,2.0,6.68,0.39,0.31,0.31,0.27,0.46,0.27,Bundesliga,2017
Wolfsburg,6.67,13.6,17.3,11.9,13.1,1.7,6.67,0.35,0.25,0.4,0.29,0.47,0.24,Bundesliga,2017
Freiburg,6.63,14.4,18.8,11.5,13.1,1.2,6.63,0.4,0.31,0.29,0.29,0.46,0.26,Bundesliga,2017
Hamburger SV,6.6,13.1,21.4,10.8,14.7,1.8,6.6,0.35,0.25,0.39,0.26,0.46,0.28,Bundesliga,2017
FC Koln,6.6,15.7,19.9,11.4,14.1,2.4,6.6,0.39,0.3,0.31,0.28,0.46,0.25,Bundesliga,2017
Bayern Munich,7.03,7.6,13.7,9.9,9.2,2.6,7.03,0.38,0.26,0.36,0.21,0.45,0.34,Bundesliga,2018
RB Leipzig,6.96,9.4,19.3,12.2,13.7,2.6,6.96,0.4,0.23,0.37,0.22,0.47,0.32,Bundesliga,2018
Borussia Dortmund,6.93,10.3,14.6,11.3,8.6,1.9,6.93,0.41,0.21,0.37,0.24,0.48,0.27,Bundesliga,2018
Bayer Leverkusen,6.88,11.4,17.1,10.5,10.8,1.9,6.88,0.32,0.25,0.43,0.25,0.48,0.26,Bundesliga,2018
Hoffenheim,6.87,13.9,16.8,11.7,13.9,1.9,6.87,0.37,0.3,0.33,0.27,0.45,0.28,Bundesliga,2018
Eintracht Frankfurt,6.83,13.4,17.6,10.6,12.4,2.4,6.83,0.38,0.28,0.34,0.26,0.46,0.29,Bundesliga,2018
Wolfsburg,6.81,13.1,15.9,12.5,10.5,2.0,6.81,0.36,0.24,0.4,0.3,0.44,0.26,Bundesliga,2018
Borussia M.Gladbach,6.76,13.3,14.7,9.1,9.8,2.1,6.76,0.38,0.25,0.37,0.27,0.47,0.26,Bundesliga,2018
Werder Bremen,6.75,14.0,16.1,12.0,12.9,1.2,6.75,0.37,0.26,0.37,0.26,0.47,0.27,Bundesliga,2018
Hertha Berlin,6.74,14.8,15.8,11.2,13.1,2.2,6.74,0.34,0.29,0.37,0.26,0.49,0.24,Bundesliga,2018
Mainz 05,6.7,15.2,15.5,11.6,12.6,2.4,6.7,0.36,0.28,0.36,0.26,0.45,0.29,Bundesliga,2018
Fortuna Duesseldorf,6.67,14.5,18.4,12.3,12.7,1.4,6.67,0.33,0.25,0.42,0.3,0.48,0.23,Bundesliga,2018
Schalke 04,6.65,13.7,18.6,12.3,13.4,2.3,6.65,0.34,0.27,0.39,0.26,0.46,0.28,Bundesliga,2018
Augsburg,6.65,15.3,17.4,13.7,13.5,2.5,6.65,0.36,0.25,0.39,0.28,0.46,0.26,Bundesliga,2018
Freiburg,6.64,15.4,16.8,11.0,12.1,1.5,6.64,0.38,0.28,0.33,0.3,0.46,0.25,Bundesliga,2018
VfB Stuttgart,6.57,15.5,16.9,11.7,11.0,2.0,6.57,0.41,0.26,0.34,0.28,0.46,0.26,Bundesliga,2018
